title,desc
S2pid Luv (2002),"Two orphans, George and Bin who are also aspiring singers decide to leave the orphanage with hopes of achieving their dreams. Unfortunately, they end up in a junk shop as helpers. One day, as George was buying something, he sees Wendy with Austin, who were engaged to be married. But the two figure in an accident and George immediately rushes Wendy to the hospital. He tries to call Jo who happens to be Wendy’s cousin, when he found her number in her wallet. George learns that because of the accident, Wendy lost her sight. From here on, Goerge decides to take a part in Wendy’s life while Bin and Jo start to get attracted to each other."
Yamashita: The Tiger's Treasure (2001),"In World War II veteran Lolo Melo enjoys regaling his grandson Jobert with war stories, one of which includes Lolo's participation in burying the famed Yamashita treasure. When Jobert heads to Manila to unearth the cache, little does he know that he has competition: A shadowy G-man and a soldier of fortune are also in pursuit of the loot."
Baliktaran: Si Ace at si Daisy (2001),"This is about a man and a woman who are forced to marry each other except, their sexual identity causes them trouble because the man is gay and the woman is a lesbian. They struggle throughout their marriage until the end."
Pangako... Ikaw Lang (2001),"In the hospital, Vince, a womanizer, is comatosed and mistakes Cristina as his guardian angel when he sees her as he opened his eyes. Little did he know that Cristina nearly killed him when she accidentally pulled his life plug. When he got well, he vowed to treat women better and find his guardian angel. One day, Cristina sees Vince with his friends. Cristina was so happy and relieved to see him alive that she hit him on the head. When Vince saw his ‘guardian angel,’ he tracked her down to get to know her better."
Pagdating ng Panahon (2001),"Lynette is a conservative and religious lady who leads a boring life. So when she gets a marriage proposal from Manuel, whose family is known to be a brood of chauvinists, she was ecstatic."
Minsan May Isang Puso (2001),Boyet Palacios is a teenage boy whose family used to be middle class. Reversal of fortune happens after the father gets sick and becomes a vegetable confined to his bed.
Abakada.. Ina (2001),An illiterate parent faces the challenge of attending to her children's academic needs.
Woman of Mud (2000),"Mark is a college student with hidden ambitions of being a horror novelist. In his quest to write a story that will showcase his talents, a true horror invades his private life in the form of a beautiful, goddess-like woman who mysteriously emerges from inside a giant fruit. Little does he know that what appears to be a fantasy come true is actually a nightmare that's become frighteningly real."
Ano Bang Meron Ka? (2001),"Ano Bang Meron Ka is a tightly woven modern love story between two of most unlikely lovers played in the film by Joyce Jimenez and Diether Ocampo. Joyce plays a high-living partygoing lifestyle writer and special events organizer who when she meets the more laid-back and unassuming bar owner, Diether, finds in the guy the exact foil to her want on ways - but whom romantically electrifies her to sweep her off her feet in the most unexpected ways."
Tusong Twosome (2001),A comedy movie starred by Andrew E. and Janno Gibbs.
Banyo Queen (2001),A horror comedy directed by Al Tantay.
Booba (2001),"Booba, newly arrived in the bustling metropolis (her choice of transportation from her far flung province, where her family owns a profitable fruit stand, should be seen to be believed), moves from an all-male dormitory (with its hole-infested bathroom door, for better peeping of course) where she worked the nights as a go-go dancer, to a Filipino-Chinese household where she worked as a nanny to an overfed eight year old, before ending up as the police's top secret agent."
Cool Dudes 24/7 (2001),Three young men travel to Subic purposely to watch beautiful women compete in a beauty pageant. They ended up losing each other and getting into hilarious encounters with other skirted species.
Sugatang Puso (2000),"A divorced man who marries a widowed wife. De Leon's previous wife suddenly develops problems, and De Leon is forced to bring his son back home to live with him, his wife and her own son."
Radio (2001),A female DJ is stalked by a serial-killing listener.
Wretched Lives (2001),A poor Filipino woman (Assunta de Rossi) tries to take care of her mentally handicapped sister amid the poverty and violence of the shantytown in which they live.
Larger than Life (2001),"A mother and her daughter—who are both victims of incest-rape perpetrated by the same man now languishing in jail—are approached by a couple of filmmakers with an offer to produce a movie based on the two women’s true story. They hesitate on the idea at first but agree eventually for the sum of money they will be paid in exchange for selling the rights to the material. When the finished film is finally shown in theaters, they proceed to the city all the way from their hometown to catch the screening. They are elated at the prospect of seeing the larger-than-life versions of themselves. But as the motion picture gradually unfolds before their very eyes, they instead go through another harrowing experience of a lifetime."
